Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-May-2021,1346.80,1359.20,1338.55,1342.90,1348.328447200410948851,54508,2489,73494687.00,24644,45.21,20.65,-3.90
6-May-2021,1341.15,1356.20,1336.25,1339.85,1341.101070669518232029,150093,4367,201289883.00,117146,78.05,19.95,-1.30
5-May-2021,1335.00,1346.00,1324.20,1338.20,1335.707972167782498322,76027,4906,101549870.00,24334,32.01,21.80,3.20
4-May-2021,1345.00,1348.80,1331.50,1337.65,1339.224024873936180814,50173,2506,67192887.00,15768,31.43,17.30,-7.35
3-May-2021,1336.00,1351.30,1320.65,1342.15,1330.456703954662455088,412197,3958,548410262.00,369303,89.59,30.65,6.15
30-April-2021,1355.80,1364.85,1337.10,1340.20,1353.828235219353062045,94414,4038,127820339.00,48458,51.32,27.75,-15.60
29-April-2021,1382.00,1389.90,1354.00,1358.50,1368.627699021458308233,74703,3574,102240595.00,22304,29.86,35.90,-23.50
28-April-2021,1380.35,1399.50,1370.50,1375.05,1381.895537645559868440,134996,4273,186550370.00,65104,48.23,29.00,-5.30
27-April-2021,1338.00,1388.55,1337.00,1380.35,1370.063391109868604976,114464,5120,156822936.00,34173,29.85,51.55,42.35
26-April-2021,1322.90,1341.95,1322.90,1335.85,1334.449927730745405740,53273,2439,71090151.00,14980,28.12,19.05,12.95
23-April-2021,1337.00,1344.25,1314.80,1322.90,1330.032640492686682063,64950,2836,86385620.00,21492,33.09,29.45,-14.10
22-April-2021,1313.80,1340.00,1307.95,1336.20,1327.154579568310768214,166555,3838,221044231.00,112792,67.72,32.05,22.40
20-April-2021,1318.20,1339.45,1318.20,1331.50,1328.785971064216248943,158558,7617,210689646.00,61162,38.57,21.25,13.30
19-April-2021,1336.30,1346.00,1306.40,1310.80,1330.721549032334878576,260369,17151,346478639.00,120568,46.31,39.60,-25.50
16-April-2021,1373.40,1392.35,1356.00,1359.70,1375.769305447973147430,96825,9463,133208863.00,38494,39.76,36.35,-13.70
15-April-2021,1372.70,1390.50,1358.10,1374.65,1363.963031788057688828,243236,10220,331764912.00,184090,75.68,32.40,1.95
13-April-2021,1345.10,1381.00,1345.10,1373.50,1369.759620558167824642,85494,3231,117106229.00,31187,36.48,35.90,28.40
12-April-2021,1394.50,1394.50,1332.20,1345.10,1351.149186078342744733,157079,8648,212237163.00,62624,39.87,62.30,-49.40
9-April-2021,1419.10,1419.10,1397.10,1404.00,1406.655453814699612064,57226,2939,80497265.00,17859,31.21,22.00,-15.10
8-April-2021,1407.10,1434.10,1407.10,1419.10,1408.207613161022262565,427444,3057,601929895.00,362582,84.83,27.00,12.00
7-April-2021,1409.00,1417.00,1389.65,1403.90,1407.656390821501970322,53037,2325,74657872.00,22760,42.91,27.35,-5.10
6-April-2021,1403.55,1416.55,1394.00,1400.85,1403.302121420219380463,53879,2752,75608515.00,14435,26.79,22.55,-2.70
5-April-2021,1444.00,1444.00,1382.00,1403.55,1402.503726055885741082,98093,5084,137575798.00,32951,33.59,62.00,-40.45
1-April-2021,1430.50,1447.80,1420.55,1444.55,1434.513666854742649363,63804,2868,91527710.00,20825,32.64,27.25,14.05
31-March-2021,1425.00,1431.00,1410.50,1418.35,1420.774619497262104945,92772,4130,131808103.00,28913,31.17,20.50,-6.65
30-March-2021,1401.00,1427.45,1396.30,1423.15,1410.198579597860173399,140946,5150,198761849.00,60865,43.18,31.15,22.15
26-March-2021,1378.00,1408.00,1378.00,1397.55,1399.149313489152080494,286230,8398,400478508.00,97595,34.10,30.00,19.55
25-March-2021,1368.70,1388.85,1361.10,1371.45,1374.642260375245833393,139322,5896,191517909.00,37129,26.65,27.75,2.75
24-March-2021,1401.70,1406.95,1360.50,1368.55,1376.590123354435252245,168863,13449,232455138.00,80325,47.57,46.45,-33.15
23-March-2021,1407.00,1416.00,1397.70,1404.75,1406.800151881744167564,113246,4145,159314490.00,50916,44.96,18.30,-2.25
22-March-2021,1395.00,1417.60,1392.00,1399.85,1401.274805194805194805,128975,7939,180729418.00,41402,32.10,25.60,4.85
19-March-2021,1416.00,1421.65,1378.65,1411.25,1398.652414946661914524,283381,17056,396351520.00,72334,25.53,43.00,-4.75
18-March-2021,1452.35,1469.00,1420.00,1428.45,1442.097429278383054993,177421,10614,255858368.00,63711,35.91,49.00,-23.90
17-March-2021,1484.00,1493.85,1431.65,1438.25,1464.011253513271746392,181099,6760,265130974.00,48802,26.95,62.20,-45.75
16-March-2021,1487.00,1497.20,1457.00,1461.00,1470.607866183247672550,150594,9176,221464721.00,52455,34.83,40.20,-26.00
15-March-2021,1515.00,1527.30,1464.00,1484.15,1491.388770567922104642,179831,10983,268197934.00,61635,34.27,63.30,-30.85
12-March-2021,1530.00,1565.00,1503.55,1514.35,1547.073180289181240203,227124,8540,351377449.00,93544,41.19,61.45,-15.65
10-March-2021,1525.00,1534.35,1508.25,1524.10,1523.295629682673706486,93563,3642,142524109.00,40056,42.81,26.10,-0.90
9-March-2021,1525.00,1531.90,1492.00,1508.25,1512.412194682924156929,127777,5441,193251493.00,58887,46.09,39.90,-16.75
8-March-2021,1470.00,1525.00,1470.00,1513.85,1510.138884950454495329,317385,16060,479295430.00,178349,56.19,55.00,43.85
5-March-2021,1459.00,1477.25,1439.60,1463.60,1462.405686090882406384,143086,6105,209249780.00,39789,27.81,37.65,4.60
4-March-2021,1475.00,1488.95,1458.25,1462.10,1475.248384262618060316,300482,6513,443285585.00,217223,72.29,30.70,-12.90
3-March-2021,1490.00,1509.80,1481.80,1496.70,1493.125256140415944219,107851,4000,161035052.00,43993,40.79,28.00,6.70
2-March-2021,1483.80,1489.55,1465.00,1485.60,1478.532641627209475815,131366,8084,194228919.00,51670,39.33,24.55,1.80
1-March-2021,1450.00,1486.20,1439.60,1472.85,1467.939979016034486691,175372,7558,257435570.00,66238,37.77,46.60,22.85
26-February-2021,1480.00,1493.00,1436.95,1442.25,1460.944295890941000076,289458,22669,422882014.00,132819,45.89,56.05,-37.75
25-February-2021,1531.30,1540.90,1502.90,1506.60,1525.239491091173003672,307953,4997,469702077.00,232355,75.45,38.00,-24.70
24-February-2021,1485.90,1531.35,1452.25,1524.90,1498.916075869808566211,704839,29405,1056494508.00,375661,53.30,79.10,39.00
23-February-2021,1452.00,1498.10,1452.00,1486.35,1482.987194551552624974,175316,9030,259991383.00,62142,35.45,46.10,34.35
22-February-2021,1509.20,1510.00,1448.00,1452.25,1464.929685021401178873,179663,12654,263193662.00,75221,41.87,62.00,-56.95
19-February-2021,1520.50,1547.30,1499.00,1507.80,1524.161675962636919561,148810,9198,226810499.00,44899,30.17,48.30,-12.70
18-February-2021,1549.00,1550.80,1515.20,1525.45,1531.352138143025042943,99549,4973,152444574.00,33662,33.81,35.60,-23.55
17-February-2021,1548.00,1567.30,1533.75,1548.30,1553.367537838598618539,92366,4060,143478346.00,28710,31.08,33.55,0.30
16-February-2021,1536.00,1573.65,1536.00,1548.75,1558.478797010368549394,201764,11025,314444916.00,99271,49.20,37.65,12.75
15-February-2021,1524.00,1544.00,1521.85,1537.90,1534.381651301956978812,74196,3269,113844981.00,30065,40.52,22.15,13.90
12-February-2021,1531.15,1544.00,1516.10,1521.15,1529.766186318480578187,113043,6727,172929359.00,32460,28.71,27.90,-10.00
11-February-2021,1550.00,1559.45,1527.45,1530.65,1538.382326862217864892,138719,7479,213402858.00,36538,26.34,32.00,-19.35
10-February-2021,1562.00,1562.45,1528.80,1552.90,1548.022378475270029289,108229,5031,167540914.00,33589,31.04,33.65,-9.10
9-February-2021,1551.00,1574.00,1544.25,1566.25,1561.195557262925104735,192629,10904,300731539.00,87483,45.42,29.75,15.25
8-February-2021,1520.00,1569.90,1518.80,1552.10,1552.318343149277189588,231596,10299,359510719.00,79967,34.53,51.10,32.10
5-February-2021,1543.90,1547.00,1511.65,1516.45,1528.135244371697679761,139296,6308,212863127.00,37785,27.13,35.35,-27.45
4-February-2021,1523.35,1549.40,1509.80,1529.45,1532.979812591072017358,376076,9817,576516916.00,265369,70.56,39.60,6.10
3-February-2021,1535.00,1557.50,1504.80,1528.75,1537.908595379888480066,263630,12045,405438843.00,74610,28.30,52.70,-6.25
2-February-2021,1466.00,1593.00,1466.00,1519.35,1536.206747010535015186,938964,50496,1442442832.00,337260,35.92,127.00,53.35
1-February-2021,1360.00,1461.00,1337.75,1449.45,1407.323339176691047572,711349,30589,1001098050.00,314807,44.25,123.25,89.45
29-January-2021,1365.00,1368.75,1325.00,1334.60,1340.550920795915731368,147101,8319,197196381.00,51266,34.85,43.75,-30.40
28-January-2021,1349.75,1365.35,1340.10,1345.00,1350.429158825610187477,353375,10776,477207904.00,272643,77.15,25.25,-4.75
27-January-2021,1373.00,1392.80,1331.10,1359.75,1362.281266498398073348,414813,24493,565091979.00,122638,29.56,61.70,-13.25
25-January-2021,1365.50,1395.75,1341.65,1361.45,1376.358100123127563868,323242,17681,444896745.00,132397,40.96,54.10,-4.05
22-January-2021,1363.00,1373.15,1348.50,1363.15,1358.877566630811521453,292845,18992,397940501.00,144730,49.42,24.65,0.15
21-January-2021,1387.85,1395.00,1361.00,1370.00,1384.128786125923494562,185843,8650,257230646.00,109835,59.10,34.00,-17.85
20-January-2021,1372.90,1392.90,1365.00,1381.95,1383.795668969278313033,220040,8821,304490399.00,112484,51.12,27.90,9.05
19-January-2021,1336.00,1381.85,1336.00,1369.75,1369.513546558213329162,313253,9575,429004227.00,207956,66.39,45.85,33.75
18-January-2021,1347.60,1353.70,1326.80,1334.70,1339.261968375297108244,339102,15567,454146412.00,218789,64.52,26.90,-12.90
15-January-2021,1378.00,1384.80,1345.00,1354.60,1361.019405288857123981,166501,6490,226611092.00,67296,40.42,39.80,-23.40
14-January-2021,1354.30,1389.55,1354.30,1376.40,1366.687056597078478916,422725,9940,577732786.00,295748,69.96,35.25,22.10
13-January-2021,1351.20,1372.75,1344.30,1352.00,1356.139839141666897443,252769,10548,342790111.00,142812,56.50,28.45,0.80
12-January-2021,1351.00,1366.60,1344.50,1349.75,1352.587992527173913043,117760,5728,159280762.00,38611,32.79,22.10,-1.25
11-January-2021,1377.10,1384.80,1344.75,1349.65,1356.425730021319206667,123832,5815,167968911.00,36628,29.58,40.05,-27.45
8-January-2021,1350.00,1382.75,1347.50,1373.20,1369.393510830917602469,426372,14867,583871050.00,254681,59.73,35.25,23.20
7-January-2021,1324.00,1346.95,1324.00,1338.85,1339.840392055713180294,193850,10770,259728060.00,64248,33.14,22.95,14.85
6-January-2021,1309.80,1329.95,1301.95,1313.65,1321.014060329649216193,317489,10396,419407433.00,184905,58.24,28.00,3.85
5-January-2021,1313.70,1313.70,1296.80,1305.95,1303.736873020737562570,156624,6639,204196484.00,72683,46.41,16.90,-7.75
4-January-2021,1303.10,1322.60,1302.35,1314.15,1313.307792731714423389,178474,7869,234391295.00,61450,34.43,20.25,11.05
1-January-2021,1281.00,1299.65,1281.00,1296.75,1295.185835095137420718,66220,3371,85767206.00,19471,29.40,18.65,15.75
31-December-2020,1292.05,1304.00,1282.00,1287.55,1295.411540840112268683,147147,6097,190615922.00,53578,36.41,22.00,-4.50
30-December-2020,1284.70,1296.00,1271.50,1291.60,1282.064326566146330846,82703,3297,106030566.00,30227,36.55,24.50,6.90
29-December-2020,1297.80,1297.80,1267.85,1284.65,1281.739128159897149178,133786,5881,171478751.00,29091,21.74,29.95,-13.15
28-December-2020,1270.25,1291.00,1267.00,1289.10,1280.513512940028150484,141383,6457,181042842.00,44355,31.37,24.00,18.85
24-December-2020,1278.00,1280.65,1254.00,1261.85,1264.517351097552255881,167828,6226,212221418.00,70214,41.84,26.65,-16.15
23-December-2020,1270.00,1271.00,1249.00,1264.40,1261.049480979149936051,168105,6056,211988723.00,71059,42.27,22.00,-5.60
22-December-2020,1232.00,1268.00,1214.00,1262.35,1241.032284010224368077,440125,15251,546209334.00,98844,22.46,54.00,30.35
21-December-2020,1278.00,1338.40,1154.85,1234.75,1270.640851582836017263,1447939,61059,1839810444.00,268037,18.51,183.55,-43.25
18-December-2020,1287.00,1301.00,1270.45,1283.15,1287.019539983074610652,237513,9842,305683872.00,56431,23.76,30.55,-3.85
17-December-2020,1267.60,1283.70,1254.05,1277.80,1270.847780260550613432,189752,7170,241145908.00,54829,28.90,29.65,10.20
16-December-2020,1256.00,1277.60,1247.05,1267.60,1261.137055660311474264,372294,14965,469513759.00,222598,59.79,30.55,11.60
15-December-2020,1252.90,1252.90,1216.35,1246.30,1233.074332058528620992,338091,10858,416891334.00,149022,44.08,36.55,-6.60
14-December-2020,1197.00,1263.60,1197.00,1249.35,1232.932655427173268403,671086,28962,827403844.00,246317,36.70,66.60,52.35
11-December-2020,1191.00,1216.55,1182.00,1194.35,1200.122896522376415518,211495,8493,253819992.00,48539,22.95,34.55,3.35
10-December-2020,1180.00,1193.50,1170.00,1190.30,1179.243424218708225377,411434,21828,485180839.00,246534,59.92,23.50,10.30
9-December-2020,1180.00,1185.00,1167.30,1181.10,1174.505939581410432309,200435,9789,235412098.00,136168,67.94,17.70,1.10
8-December-2020,1175.00,1182.45,1148.65,1171.20,1165.204501258789825505,230380,11160,268439813.00,109303,47.44,33.80,-3.80
7-December-2020,1151.00,1171.90,1144.70,1169.60,1162.672522863995247658,225573,9726,262267529.00,58758,26.05,27.20,18.60
4-December-2020,1127.00,1161.90,1127.00,1149.25,1148.433532337461036638,234836,11029,269693537.00,62609,26.66,34.90,22.25
3-December-2020,1127.00,1135.25,1121.00,1125.05,1122.875677095636449534,491068,16326,551408313.00,357469,72.79,14.25,-1.95
2-December-2020,1116.10,1132.00,1104.20,1113.90,1116.166349361193278368,127112,5972,141878137.00,40734,32.05,27.80,-2.20
1-December-2020,1132.00,1135.00,1111.95,1115.70,1119.522630339295944999,109963,4983,123106067.00,47858,43.52,23.05,-16.30
27-November-2020,1131.00,1139.35,1092.35,1115.80,1126.888516614442741326,221163,12200,249226045.00,84742,38.32,47.00,-15.20
26-November-2020,1129.90,1134.95,1102.25,1119.45,1117.986380512541881735,220860,9818,246918472.00,69432,31.44,32.70,-10.45
25-November-2020,1142.80,1146.00,1112.60,1115.70,1126.578766172836243012,151334,8614,170489671.00,38508,25.45,33.40,-27.10
24-November-2020,1137.70,1144.00,1129.00,1135.35,1135.888327100663970083,157236,6795,178602537.00,41109,26.14,15.00,-2.35
23-November-2020,1138.00,1148.10,1123.20,1125.70,1132.665185185185185185,143775,7109,162848937.00,45887,31.92,24.90,-12.30
20-November-2020,1140.00,1160.00,1118.80,1132.15,1136.923483681503301534,333027,19132,378626217.00,90634,27.22,41.20,-7.85
19-November-2020,1128.85,1176.75,1108.10,1134.95,1145.964095461325378222,384826,20639,440996779.00,80052,20.80,68.65,6.10
18-November-2020,1081.00,1154.00,1079.35,1147.75,1127.921455872953228290,932444,42799,1051723594.00,498284,53.44,74.65,66.75
17-November-2020,1061.00,1096.70,1061.00,1081.25,1083.718744231266229371,325028,13258,352238936.00,112502,34.61,35.70,20.25
14-November-2020,1065.00,1068.60,1054.25,1059.10,1061.732772835166428092,55189,4824,58595970.00,29504,53.46,14.35,-5.90
13-November-2020,1067.50,1067.50,1038.60,1051.40,1053.009034656500853185,570802,20517,601059663.00,388550,68.07,28.90,-16.10
12-November-2020,1057.30,1075.40,1052.25,1073.30,1066.278778536207096021,319813,18468,341009815.00,136971,42.83,23.15,16.00
11-November-2020,1038.00,1062.95,1021.40,1059.45,1043.940510356327891872,455760,19912,475786327.00,146159,32.07,41.55,21.45
10-November-2020,971.10,1036.20,965.85,1033.00,1010.285716746922566695,580435,24613,586405190.00,270048,46.53,70.35,61.90
9-November-2020,970.00,974.35,962.60,965.50,968.599968740897562500,140759,6048,136339163.00,76258,54.18,11.75,-4.50
6-November-2020,960.70,967.25,950.60,959.30,961.804353511917317021,118525,5206,113997861.00,61836,52.17,16.65,-1.40
5-November-2020,947.50,959.40,942.50,957.90,952.574769566623544631,98944,5090,94251558.00,47773,48.28,16.90,10.40
4-November-2020,937.00,950.15,931.10,939.35,942.708220635435825309,221832,10573,209122850.00,63928,28.82,19.05,2.35
3-November-2020,947.00,952.70,933.00,947.75,944.364952253739106981,155719,7116,147055566.00,39420,25.31,19.70,0.75
2-November-2020,930.50,937.65,920.50,929.20,929.361183836688741018,188303,10295,175001499.00,80366,42.68,17.15,-1.30
30-October-2020,941.15,947.15,924.15,929.60,934.158277083529886013,233186,11248,217832632.00,56472,24.22,23.00,-11.55
29-October-2020,953.00,958.95,927.00,934.60,940.005057173416213731,526381,29196,494800802.00,164876,31.32,31.95,-18.40
28-October-2020,985.00,994.85,974.15,983.65,981.797144093150094825,547847,23073,537874620.00,341198,62.28,20.70,-1.35
27-October-2020,961.00,986.40,955.70,982.45,972.992894342639377216,257682,13225,250722755.00,96832,37.58,30.70,21.45
26-October-2020,950.00,959.25,943.15,951.65,950.337917941792863969,228082,8471,216754973.00,92063,40.36,16.10,1.65
23-October-2020,940.00,948.50,927.65,941.20,940.274273474931713360,133994,5828,125991111.00,45857,34.22,20.85,1.20
22-October-2020,923.00,938.95,921.05,936.25,933.419312291034017361,326010,13719,304304030.00,166398,51.04,17.90,13.25
21-October-2020,925.90,931.00,909.00,924.65,922.732403172918226830,275078,12416,253823384.00,99061,36.01,22.00,-1.25
20-October-2020,915.15,935.60,912.75,917.30,925.254094292803970223,666965,31631,617112097.00,252616,37.88,22.85,2.15
19-October-2020,900.00,905.35,884.25,903.00,894.800524425072892099,200982,10270,179838799.00,54362,27.05,21.10,3.00
16-October-2020,890.25,903.00,889.50,894.20,895.021233062790776649,117788,6382,105422761.00,31791,26.99,13.50,3.95
15-October-2020,918.00,918.95,887.00,888.95,903.432895757837561096,125007,6119,112935436.00,47300,37.84,31.95,-29.05
14-October-2020,896.50,916.85,887.45,915.00,905.239463051685690945,226465,11929,205005055.00,109603,48.40,29.40,18.50
13-October-2020,906.55,915.50,889.35,896.50,901.957576812747682767,120618,5288,108792319.00,36656,30.39,26.15,-10.05
12-October-2020,915.00,925.80,902.35,905.50,916.439752074225095670,183442,7328,168113541.00,42668,23.26,23.45,-9.50
9-October-2020,887.80,914.70,887.00,908.35,905.834065137544343850,286962,10532,259939955.00,55905,19.48,27.70,20.55
8-October-2020,890.00,894.00,880.00,881.00,884.383249014822075880,152003,6084,134428907.00,74194,48.81,14.00,-9.00
7-October-2020,893.10,895.00,876.25,887.70,883.150615736475078224,213809,15151,188825550.00,94303,44.11,18.75,-5.40
6-October-2020,901.00,904.65,888.70,892.70,895.995542488619119878,73808,3992,66131639.00,33270,45.08,15.95,-8.30
5-October-2020,908.00,908.50,895.05,896.85,900.623388922033769898,105597,8023,95103128.00,41522,39.32,13.45,-11.15
1-October-2020,905.10,913.30,901.25,902.95,907.322374157327265380,141069,8039,127995060.00,57797,40.97,12.05,-2.15
30-September-2020,897.40,905.00,884.30,902.45,895.258595342516523565,80945,4035,72466707.00,26047,32.18,20.70,5.05
29-September-2020,907.05,912.80,892.20,895.15,899.811654838823570949,169938,9814,152912193.00,60217,35.43,20.60,-11.90
28-September-2020,899.95,917.00,893.00,902.90,907.618883807163914187,227613,13419,206585857.00,94229,41.40,24.00,2.95
25-September-2020,864.00,895.00,852.00,889.30,874.100721393640057419,164404,7629,143705655.00,42228,25.69,43.00,25.30
24-September-2020,857.80,859.50,842.50,850.35,850.749604753014120657,517398,21796,440176144.00,145073,28.04,17.00,-7.45
23-September-2020,869.80,873.85,855.00,860.75,862.684805179789571048,216225,13593,186534022.00,73914,34.18,18.85,-9.05
22-September-2020,886.90,888.00,852.00,857.05,864.140667276156970756,432055,31309,373356296.00,196374,45.45,36.00,-29.85
21-September-2020,900.20,904.30,874.55,881.90,887.900414605323772708,199708,11510,177320816.00,98429,49.29,29.75,-18.30
18-September-2020,910.00,914.00,896.60,900.20,904.740457870837537840,158560,8935,143455647.00,82009,51.72,17.40,-9.80
17-September-2020,918.80,918.80,905.00,906.30,910.915032679738562091,233784,15195,212957360.00,108079,46.23,13.80,-12.50
16-September-2020,912.20,923.50,912.20,921.95,918.211905688273286125,128510,5793,117999412.00,42298,32.91,11.30,9.75
15-September-2020,908.30,914.70,900.00,909.55,905.828754825872794850,277929,15809,251756080.00,107177,38.56,14.70,1.25
14-September-2020,924.00,924.00,901.00,902.30,909.819625454292923447,302393,22420,275123086.00,175383,58.00,23.00,-21.70
11-September-2020,923.80,923.80,912.20,917.65,916.003127309944845624,87935,3893,80548735.00,33902,38.55,11.60,-6.15
10-September-2020,918.00,923.00,912.25,920.65,917.583195029707001968,162083,8945,148724637.00,57552,35.51,10.75,2.65
9-September-2020,913.70,927.80,901.60,909.55,913.145081253077768097,158394,8268,144636702.00,58185,36.73,26.20,-4.15
8-September-2020,933.00,940.00,911.90,916.25,923.792181182384438859,219624,14049,202886934.00,111284,50.67,28.10,-16.75
